target,p_value
Jew_Ashkenazi.HO,0.13641042649445168
Jew_Moroccan.HO,0.4214297801544347
Jew_Moroccan.HO_model2,0.15843272207364895
Jew_Moroccan.HO_model3,0.1605133451141472
Jew_Moroccan.HO_model4,0.08335370440798691
Jew_Tunisian.HO,0.9074015731330783
Jew_Tunisian.HO_model2,0.11563324111740579
Jew_Tunisian.HO_model3,0.5981067856098116
Jew_Libyan.HO,0.208465292900663
Jew_Libyan.HO_model2,0.26578319063499306
Jew_Libyan.HO_model3,0.3093896645181968
Jew_Libyan.HO_model4,0.12441814562585755
Jew_Yemenite.HO,0.7905885392477995
Jew_Yemenite.HO_model2,0.6970202807022894
Jew_Iranian.HO,0.015509678820822473
Jew_Iraqi.HO,0.48275880915901526
Jew_Georgian.HO,5.789090543146943e-4
Jew_Cochin.HO,1.1548758316788702e-56
Jew_Turkish.HO,0.6024626839203479
Jew_Turkish.HO_model2,0.15041300663383167
Jew_Turkish.HO_model3,0.7221702955994633
Jew_Turkish.HO_model4,0.31566191179292097
